연도,직종,회차,성별,연령대,응시지역,졸업여부,합격여부
2001,의사,65,남,20,부산광역시,졸업,합격
2001,의사,65,남,30,부산광역시,졸업,합격
2001,의사,65,남,20,부산광역시,졸업,합격
2001,의사,65,남,30,부산광역시,졸업,합격
2001,의사,65,남,30,서울특별시,졸업,합격
2001,의사,65,남,40,서울특별시,졸업,합격
2001,의사,65,남,40,서울특별시,졸업,합격
2001,의사,65,남,30,서울특별시,졸업,합격
2001,의사,65,남,20,서울특별시,졸업,합격
2001,의사,65,남,30,서울특별시,졸업,합격
2001,의사,65,남,30,서울특별시,졸업,합격
2001,의사,65,남,30,서울특별시,졸업,합격
2001,의사,65,남,20,서울특별시,졸업,합격
2001,의사,65,남,30,서울특별시,졸업,합격
2001,의사,65,여,20,서울특별시,졸업,합격
2001,의사,65,남,20,서울특별시,졸업,합격
2001,의사,65,남,20,서울특별시,졸업,합격
2001,의사,65,여,20,서울특별시,졸업,합격
2001,의사,65,남,30,서울특별시,졸업,합격
2001,의사,65,여,20,서울특별시,졸업,합격
2001,의사,65,남,20,서울특별시,졸업,합격
2001,의사,65,남,20,서울특별시,졸업,합격
2001,의사,65,여,30,서울특별시,졸업,합격
2001,의사,65,남,20,서울특별시,졸업,합격
2001,의사,65,남,20,서울특별시,졸업,합격
2001,의사,65,여,30,서울특별시,졸업,합격
2001,의사,65,남,20,서울특별시,졸업,합격
2001,의사,65,남,30,서울특별시,졸업,합격
2001,의사,65,남,30,서울특별시,졸업,합격
2001,의사,65,남,30,서울특별시,졸업,합격
2001,의사,65,여,20,서울특별시,졸업,합격
2001,의사,65,남,30,서울특별시,졸업,합격
2001,의사,65,남,20,서울특별시,졸업,합격
2001,의사,65,여,30,서울특별시,졸업,합격
2001,의사,65,남,30,서울특별시,졸업,합격
2001,의사,65,남,40,서울특별시,졸업,합격
2001,의사,65,여,30,서울특별시,졸업,합격
2001,의사,65,남,30,서울특별시,졸업,합격
2001,의사,65,남,30,서울특별시,졸업,합격
2001,치과의사,53,남,20,서울특별시,졸업,합격
2001,치과의사,53,남,20,서울특별시,졸업,합격
2001,치과의사,53,남,30,서울특별시,졸업,합격
2001,치과의사,53,남,30,서울특별시,졸업,합격
2001,치과의사,53,여,30,서울특별시,졸업,합격
2001,치과의사,53,남,30,서울특별시,졸업,합격
2001,치과의사,53,남,20,서울특별시,졸업,합격
2001,치과의사,53,여,20,서울특별시,졸업,합격
2001,치과의사,53,남,20,서울특별시,졸업,합격
2001,치과의사,53,남,20,서울특별시,졸업,합격
2001,치과의사,53,남,20,서울특별시,졸업,합격
2001,치과의사,53,남,30,서울특별시,졸업,합격
2001,치과의사,53,남,20,서울특별시,졸업,합격
2001,치과의사,53,남,30,서울특별시,졸업,합격
2001,치과의사,53,여,20,서울특별시,졸업,합격
2001,치과의사,53,남,20,서울특별시,졸업,합격
2001,치과의사,53,남,30,서울특별시,졸업,합격
2001,치과의사,53,남,20,서울특별시,졸업,합격
2001,치과의사,53,여,30,서울특별시,졸업,합격
2001,치과의사,53,남,20,서울특별시,졸업,합격
2001,치과의사,53,남,30,서울특별시,졸업,합격
2001,치과의사,53,여,20,서울특별시,졸업,합격
2001,치과의사,53,남,20,서울특별시,졸업,합격
2001,치과의사,53,남,20,서울특별시,졸업,합격
2001,치과의사,53,남,40,서울특별시,졸업,합격
2001,치과의사,53,남,40,서울특별시,졸업,합격
2001,치과의사,53,남,20,서울특별시,졸업,합격
2001,치과의사,53,남,30,서울특별시,졸업,합격
2001,치과의사,53,남,30,서울특별시,졸업,합격
2001,치과의사,53,여,20,서울특별시,졸업,합격
2001,치과의사,53,남,30,서울특별시,졸업,합격
2001,치과의사,53,남,30,서울특별시,졸업,합격
2001,치과의사,53,남,20,서울특별시,졸업,합격
2001,치과의사,53,남,20,서울특별시,졸업,합격
2001,치과의사,53,남,30,서울특별시,졸업,합격
2001,치과의사,53,남,30,서울특별시,졸업,합격
2001,치과의사,53,남,20,서울특별시,졸업,합격
2001,치과의사,53,남,20,서울특별시,졸업,합격
2001,치과의사,53,여,20,서울특별시,졸업,합격
2001,치과의사,53,남,30,서울특별시,졸업,합격
2001,치과의사,53,남,20,서울특별시,졸업,합격
2001,치과의사,53,남,50,서울특별시,졸업,합격
2001,치과의사,53,남,30,서울특별시,졸업,합격
2001,치과의사,53,남,20,서울특별시,졸업,합격
2001,치과의사,53,남,40,서울특별시,졸업,합격
2001,치과의사,53,남,40,서울특별시,졸업,합격
2001,치과의사,53,남,20,서울특별시,졸업,합격
2001,치과의사,53,남,20,서울특별시,졸업,합격
2001,치과의사,53,남,40,서울특별시,졸업,합격
2001,치과의사,53,남,40,서울특별시,졸업,합격
2001,치과의사,53,남,20,서울특별시,졸업,합격
2001,치과의사,53,남,40,서울특별시,졸업,합격
2001,치과의사,53,남,20,서울특별시,졸업,합격
